id_pedido,data_pedido,ano,mes,nome_mes,segmento,regiao,estado,cidade,categoria,subcategoria,nome_produto,modo_envio,dias_entrega,vendas,quantidade,desconto,lucro,margem_lucro
US-2015-150630,2015-09-17,2015,9,Sep,Consumidor,Leste,Pennsylvania,Philadelphia,Papelaria,Fichários,Avery Recycled Flexi-View Covers for Binding Systems,Padrão,4,9.618,2,0.7,-7.0532,-73.33
US-2015-150630,2015-09-17,2015,9,Sep,Consumidor,Leste,Pennsylvania,Philadelphia,Móveis,Mobiliário,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Padrão,4,124.2,3,0.2,15.525,12.5
US-2015-150630,2015-09-17,2015,9,Sep,Consumidor,Leste,Pennsylvania,Philadelphia,Papelaria,Envelopes,Poly String Tie Envelopes,Padrão,4,3.264,2,0.2,1.1016,33.75
US-2015-150630,2015-09-17,2015,9,Sep,Consumidor,Leste,Pennsylvania,Philadelphia,Papelaria,Arte,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Padrão,4,86.304,6,0.2,9.7092,11.25
US-2015-150630,2015-09-17,2015,9,Sep,Consumidor,Leste,Pennsylvania,Philadelphia,Papelaria,Fichários,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Padrão,4,6.858,6,0.7,-5.715,-83.33
US-2015-150630,2015-09-17,2015,9,Sep,Consumidor,Leste,Pennsylvania,Philadelphia,Papelaria,Arte,Lumber Crayons,Padrão,4,15.76,2,0.2,3.546,22.5
CA-2017-107727,2017-10-19,2017,10,Oct,Home Office,Central,Texas,Houston,Papelaria,Papel,Easy-staple paper,Segunda Classe,4,29.472,3,0.2,9.9468,33.75
CA-2016-117590,2016-12-08,2016,12,Dec,Corporativo,Central,Texas,Richardson,Tecnologia,Telefones,GE 30524EE4,Primeira Classe,2,1097.544,7,0.2,123.4737,11.25
CA-2016-117590,2016-12-08,2016,12,Dec,Corporativo,Central,Texas,Richardson,Móveis,Mobiliário,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Primeira Classe,2,190.92,5,0.6,-147.963,-77.5
CA-2015-117415,2015-12-27,2015,12,Dec,Home Office,Central,Texas,Houston,Papelaria,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Padrão,4,113.328,9,0.2,35.415,31.25
CA-2015-117415,2015-12-27,2015,12,Dec,Home Office,Central,Texas,Houston,Móveis,Estantes,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Padrão,4,532.3992,3,0.32,-46.9764,-8.82
CA-2015-117415,2015-12-27,2015,12,Dec,Home Office,Central,Texas,Houston,Móveis,Cadeiras,"Global Fabric Manager's Chair, Dark Gray",Padrão,4,212.058,3,0.3,-15.147,-7.14
CA-2015-117415,2015-12-27,2015,12,Dec,Home Office,Central,Texas,Houston,Tecnologia,Telefones,Plantronics HL10 Handset Lifter,Padrão,4,371.168,4,0.2,41.7564,11.25
CA-2017-120999,2017-09-10,2017,9,Sep,Corporativo,Central,Illinois,Naperville,Tecnologia,Telefones,Panasonic Kx-TS550,Padrão,5,147.168,4,0.2,16.5564,11.25
CA-2016-101343,2016-07-17,2016,7,Jul,Corporativo,Oeste,California,Los Angeles,Papelaria,Armazenamento,"Eldon Base for stackable storage shelf, platinum",Padrão,5,77.88,2,0.0,3.894,5.0
CA-2017-139619,2017-09-19,2017,9,Sep,Corporativo,Sul,Florida,Melbourne,Papelaria,Armazenamento,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Padrão,4,95.616,2,0.2,9.5616,10.0
CA-2016-118255,2016-03-11,2016,3,Mar,Corporativo,Central,Minnesota,Eagan,Tecnologia,Acessórios,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Primeira Classe,2,45.98,2,0.0,19.7714,43.0
CA-2016-118255,2016-03-11,2016,3,Mar,Corporativo,Central,Minnesota,Eagan,Papelaria,Fichários,Wilson Jones Leather-Like Binders with DublLock Round Rings,Primeira Classe,2,17.46,2,0.0,8.2062,47.0
CA-2014-146703,2014-10-20,2014,10,Oct,Consumidor,Central,Michigan,Westland,Papelaria,Armazenamento,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Segunda Classe,5,211.96,4,0.0,8.4784,4.0
CA-2016-169194,2016-06-20,2016,6,Jun,Consumidor,Leste,Delaware,Dover,Tecnologia,Acessórios,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Padrão,5,45.0,3,0.0,4.95,11.0
CA-2016-169194,2016-06-20,2016,6,Jun,Consumidor,Leste,Delaware,Dover,Tecnologia,Telefones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Padrão,5,21.8,2,0.0,6.104,28.0
CA-2015-115742,2015-04-18,2015,4,Apr,Consumidor,Central,Indiana,New Albany,Papelaria,Fichários,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Padrão,4,38.22,6,0.0,17.9634,47.0
CA-2015-115742,2015-04-18,2015,4,Apr,Consumidor,Central,Indiana,New Albany,Papelaria,Etiquetas,Avery 485,Padrão,4,75.18,6,0.0,35.3346,47.0
CA-2015-115742,2015-04-18,2015,4,Apr,Consumidor,Central,Indiana,New Albany,Móveis,Mobiliário,Longer-Life Soft White Bulbs,Padrão,4,6.16,2,0.0,2.9568,48.0
CA-2015-115742,2015-04-18,2015,4,Apr,Consumidor,Central,Indiana,New Albany,Móveis,Cadeiras,"Global Leather Task Chair, Black",Padrão,4,89.99,1,0.0,17.0981,19.0
CA-2016-105816,2016-12-11,2016,12,Dec,Corporativo,Leste,New York,New York City,Papelaria,Grampos,Advantus Push Pins,Padrão,6,15.26,7,0.0,6.2566,41.0
CA-2016-105816,2016-12-11,2016,12,Dec,Corporativo,Leste,New York,New York City,Tecnologia,Telefones,AT&T CL83451 4-Handset Telephone,Padrão,6,1029.95,5,0.0,298.6855,29.0
CA-2016-111682,2016-06-17,2016,6,Jun,Consumidor,Leste,New York,Troy,Papelaria,Armazenamento,Home/Office Personal File Carts,Primeira Classe,1,208.56,6,0.0,52.14,25.0
CA-2016-111682,2016-06-17,2016,6,Jun,Consumidor,Leste,New York,Troy,Papelaria,Papel,Xerox 232,Primeira Classe,1,32.4,5,0.0,15.552,48.0
CA-2016-111682,2016-06-17,2016,6,Jun,Consumidor,Leste,New York,Troy,Móveis,Cadeiras,Novimex Turbo Task Chair,Primeira Classe,1,319.41,5,0.1,7.098,2.22
CA-2016-111682,2016-06-17,2016,6,Jun,Consumidor,Leste,New York,Troy,Papelaria,Papel,"Array Parchment Paper, Assorted Colors",Primeira Classe,1,14.56,2,0.0,6.9888,48.0
CA-2016-111682,2016-06-17,2016,6,Jun,Consumidor,Leste,New York,Troy,Tecnologia,Acessórios,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Primeira Classe,1,30.0,2,0.0,3.3,11.0
CA-2016-111682,2016-06-17,2016,6,Jun,Consumidor,Leste,New York,Troy,Papelaria,Fichários,Plastic Binding Combs,Primeira Classe,1,48.48,4,0.2,16.362,33.75
CA-2016-111682,2016-06-17,2016,6,Jun,Consumidor,Leste,New York,Troy,Papelaria,Arte,Prang Dustless Chalk Sticks,Primeira Classe,1,1.68,1,0.0,0.84,50.0
CA-2015-135545,2015-11-24,2015,11,Nov,Consumidor,Oeste,California,Los Angeles,Tecnologia,Acessórios,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Padrão,6,13.98,2,0.0,6.1512,44.0
CA-2015-135545,2015-11-24,2015,11,Nov,Consumidor,Oeste,California,Los Angeles,Papelaria,Fichários,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Padrão,6,25.824,6,0.2,9.3612,36.25
CA-2015-135545,2015-11-24,2015,11,Nov,Consumidor,Oeste,California,Los Angeles,Papelaria,Papel,Xerox 1943,Padrão,6,146.73,3,0.0,68.9631,47.0
CA-2015-135545,2015-11-24,2015,11,Nov,Consumidor,Oeste,California,Los Angeles,Móveis,Mobiliário,Luxo Economy Swing Arm Lamp,Padrão,6,79.76,4,0.0,22.3328,28.0
US-2015-164175,2015-04-30,2015,4,Apr,Home Office,Central,Illinois,Chicago,Móveis,Cadeiras,"Global Value Mid-Back Manager's Chair, Gray",Padrão,5,213.115,5,0.3,-15.2225,-7.14
CA-2014-106376,2014-12-05,2014,12,Dec,Corporativo,Oeste,Arizona,Gilbert,Papelaria,Arte,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Padrão,5,1113.024,8,0.2,111.3024,10.0
CA-2014-106376,2014-12-05,2014,12,Dec,Corporativo,Oeste,Arizona,Gilbert,Tecnologia,Telefones,netTALK DUO VoIP Telephone Service,Padrão,5,167.968,4,0.2,62.988,37.5
CA-2016-119823,2016-06-04,2016,6,Jun,Consumidor,Sul,Virginia,Springfield,Papelaria,Papel,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Primeira Classe,2,75.88,2,0.0,35.6636,47.0
CA-2016-106075,2016-09-18,2016,9,Sep,Consumidor,Leste,New York,New York City,Papelaria,Fichários,Avery Binding System Hidden Tab Executive Style Index Sets,Padrão,5,4.616,1,0.2,1.731,37.5
CA-2017-114440,2017-09-14,2017,9,Sep,Consumidor,Central,Michigan,Jackson,Papelaria,Papel,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Segunda Classe,3,19.05,3,0.0,8.763,46.0
US-2015-134026,2015-04-26,2015,4,Apr,Consumidor,Sul,Tennessee,Memphis,Móveis,Cadeiras,High-Back Leather Manager's Chair,Padrão,6,831.936,8,0.2,-114.3912,-13.75
US-2015-134026,2015-04-26,2015,4,Apr,Consumidor,Sul,Tennessee,Memphis,Móveis,Mobiliário,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Padrão,6,97.04,2,0.2,1.213,1.25
US-2015-134026,2015-04-26,2015,4,Apr,Consumidor,Sul,Tennessee,Memphis,Papelaria,Armazenamento,Safco Industrial Wire Shelving System,Padrão,6,72.784,1,0.2,-18.196,-25.0
US-2017-118038,2017-12-09,2017,12,Dec,Corporativo,Central,Texas,Houston,Papelaria,Fichários,Economy Binders,Primeira Classe,2,1.248,3,0.8,-1.9344,-155.0
US-2017-118038,2017-12-09,2017,12,Dec,Corporativo,Central,Texas,Houston,Móveis,Mobiliário,"6"" Cubicle Wall Clock, Black",Primeira Classe,2,9.708,3,0.6,-5.8248,-60.0
US-2017-118038,2017-12-09,2017,12,Dec,Corporativo,Central,Texas,Houston,Papelaria,Armazenamento,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Primeira Classe,2,27.24,3,0.2,2.724,10.0
US-2014-147606,2014-11-26,2014,11,Nov,Consumidor,Central,Texas,Houston,Móveis,Mobiliário,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Segunda Classe,5,19.3,5,0.6,-14.475,-75.0
CA-2016-127208,2016-06-12,2016,6,Jun,Corporativo,Sul,Alabama,Decatur,Papelaria,Eletrodomésticos,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Primeira Classe,3,208.16,1,0.0,56.2032,27.0
CA-2016-127208,2016-06-12,2016,6,Jun,Corporativo,Sul,Alabama,Decatur,Papelaria,Fichários,Avery Heavy-Duty EZD  Binder With Locking Rings,Primeira Classe,3,16.74,3,0.0,8.0352,48.0
CA-2014-139451,2014-10-12,2014,10,Oct,Consumidor,Oeste,California,San Francisco,Papelaria,Arte,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Padrão,4,14.9,5,0.0,4.172,28.0
CA-2014-139451,2014-10-12,2014,10,Oct,Consumidor,Oeste,California,San Francisco,Papelaria,Armazenamento,"Sortfiler Multipurpose Personal File Organizer, Black",Padrão,4,21.39,1,0.0,6.2031,29.0
CA-2015-149734,2015-09-03,2015,9,Sep,Corporativo,Sul,North Carolina,Durham,Papelaria,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Padrão,5,200.984,7,0.2,62.8075,31.25
US-2017-119662,2017-11-13,2017,11,Nov,Home Office,Central,Illinois,Chicago,Papelaria,Armazenamento,Safco Industrial Wire Shelving,Primeira Classe,3,230.376,3,0.2,-48.9549,-21.25
CA-2017-140088,2017-05-28,2017,5,May,Consumidor,Sul,South Carolina,Columbia,Móveis,Cadeiras,Novimex Swivel Fabric Task Chair,Segunda Classe,2,301.96,2,0.0,33.2156,11.0
CA-2017-155558,2017-10-26,2017,10,Oct,Consumidor,Central,Minnesota,Rochester,Tecnologia,Acessórios,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Padrão,7,19.99,1,0.0,6.7966,34.0
CA-2017-155558,2017-10-26,2017,10,Oct,Consumidor,Central,Minnesota,Rochester,Papelaria,Etiquetas,Avery 511,Padrão,7,6.16,2,0.0,2.9568,48.0
CA-2016-159695,2016-04-05,2016,4,Apr,Home Office,Central,Texas,Houston,Papelaria,Armazenamento,Eldon Portable Mobile Manager,Segunda Classe,5,158.368,7,0.2,13.8572,8.75
CA-2016-109806,2016-09-17,2016,9,Sep,Corporativo,Oeste,California,Los Angeles,Papelaria,Arte,Turquoise Lead Holder with Pocket Clip,Padrão,5,20.1,3,0.0,6.633,33.0
CA-2016-109806,2016-09-17,2016,9,Sep,Corporativo,Oeste,California,Los Angeles,Tecnologia,Telefones,Panasonic Kx-TS550,Padrão,5,73.584,2,0.2,8.2782,11.25
CA-2016-109806,2016-09-17,2016,9,Sep,Corporativo,Oeste,California,Los Angeles,Papelaria,Papel,Xerox 1995,Padrão,5,6.48,1,0.0,3.1104,48.0
CA-2015-149587,2015-01-31,2015,1,Jan,Consumidor,Central,Minnesota,Minneapolis,Papelaria,Papel,Xerox 1999,Segunda Classe,5,12.96,2,0.0,6.2208,48.0
CA-2015-149587,2015-01-31,2015,1,Jan,Consumidor,Central,Minnesota,Minneapolis,Móveis,Mobiliário,"Seth Thomas 13 1/2"" Wall Clock",Segunda Classe,5,53.34,3,0.0,16.5354,31.0
CA-2015-149587,2015-01-31,2015,1,Jan,Consumidor,Central,Minnesota,Minneapolis,Papelaria,Fichários,Ibico Standard Transparent Covers,Segunda Classe,5,32.96,2,0.0,16.1504,49.0
US-2017-109484,2017-11-06,2017,11,Nov,Home Office,Oeste,Oregon,Portland,Papelaria,Fichários,Flexible Leather- Look Classic Collection Ring Binder,Padrão,6,5.682,1,0.7,-3.788,-66.67
CA-2017-161018,2017-11-09,2017,11,Nov,Home Office,Leste,New York,New York City,Móveis,Mobiliário,9-3/4 Diameter Round Wall Clock,Segunda Classe,2,96.53,7,0.0,40.5426,42.0
CA-2017-157833,2017-06-17,2017,6,Jun,Consumidor,Oeste,California,San Francisco,Papelaria,Fichários,Trimflex Flexible Post Binders,Primeira Classe,3,51.312,3,0.2,17.9592,35.0
CA-2016-149223,2016-09-06,2016,9,Sep,Corporativo,Central,Minnesota,Saint Paul,Papelaria,Eletrodomésticos,Fellowes Basic Home/Office Series Surge Protectors,Padrão,5,77.88,6,0.0,22.5852,29.0
CA-2016-158568,2016-08-29,2016,8,Aug,Home Office,Central,Illinois,Chicago,Papelaria,Papel,Avery Personal Creations Heavyweight Cards,Padrão,4,64.624,7,0.2,22.6184,35.0
CA-2016-158568,2016-08-29,2016,8,Aug,Home Office,Central,Illinois,Chicago,Tecnologia,Acessórios,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Padrão,4,95.976,3,0.2,-10.7973,-11.25
CA-2016-158568,2016-08-29,2016,8,Aug,Home Office,Central,Illinois,Chicago,Papelaria,Fichários,Avery Hidden Tab Dividers for Binding Systems,Padrão,4,1.788,3,0.8,-3.0396,-170.0
CA-2016-129903,2016-12-01,2016,12,Dec,Consumidor,Central,Minnesota,Rochester,Papelaria,Papel,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Segunda Classe,3,23.92,4,0.0,11.7208,49.0
US-2015-156867,2015-11-13,2015,11,Nov,Consumidor,Oeste,Colorado,Aurora,Tecnologia,Acessórios,Logitech K350 2.4Ghz Wireless Keyboard,Padrão,4,238.896,6,0.2,-26.8758,-11.25
US-2015-156867,2015-11-13,2015,11,Nov,Consumidor,Oeste,Colorado,Aurora,Móveis,Mobiliário,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Padrão,4,102.36,3,0.2,-3.8385,-3.75
US-2015-156867,2015-11-13,2015,11,Nov,Consumidor,Oeste,Colorado,Aurora,Papelaria,Fichários,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Padrão,4,36.882,3,0.7,-25.8174,-70.0
CA-2017-119004,2017-11-23,2017,11,Nov,Consumidor,Sul,North Carolina,Charlotte,Tecnologia,Acessórios,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Padrão,5,74.112,8,0.2,17.6016,23.75
CA-2017-119004,2017-11-23,2017,11,Nov,Consumidor,Sul,North Carolina,Charlotte,Tecnologia,Telefones,Speck Products Candyshell Flip Case,Padrão,5,27.992,1,0.2,2.0994,7.5
CA-2017-119004,2017-11-23,2017,11,Nov,Consumidor,Sul,North Carolina,Charlotte,Papelaria,Arte,Newell Chalk Holder,Padrão,5,3.304,1,0.2,1.0738,32.5
CA-2015-129476,2015-10-15,2015,10,Oct,Home Office,Central,Illinois,Orland Park,Tecnologia,Acessórios,Logitech Gaming G510s - Keyboard,Padrão,5,339.96,5,0.2,67.992,20.0
CA-2017-146780,2017-12-25,2017,12,Dec,Corporativo,Leste,New York,New York City,Móveis,Mobiliário,Magnifier Swing Arm Lamp,Padrão,5,41.96,2,0.0,10.9096,26.0
CA-2016-128867,2016-11-03,2016,11,Nov,Consumidor,Central,Iowa,Urbandale,Papelaria,Arte,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Padrão,7,75.96,2,0.0,22.788,30.0
CA-2016-128867,2016-11-03,2016,11,Nov,Consumidor,Central,Iowa,Urbandale,Papelaria,Fichários,"Avery Durable Plastic 1"" Binders",Padrão,7,27.24,6,0.0,13.3476,49.0
CA-2014-115259,2014-08-25,2014,8,Aug,Consumidor,Leste,Ohio,Columbus,Papelaria,Grampos,"OIC Colored Binder Clips, Assorted Sizes",Segunda Classe,2,40.096,14,0.2,14.5348,36.25
CA-2014-115259,2014-08-25,2014,8,Aug,Consumidor,Leste,Ohio,Columbus,Papelaria,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Segunda Classe,2,4.72,2,0.2,1.652,35.0
CA-2014-115259,2014-08-25,2014,8,Aug,Consumidor,Leste,Ohio,Columbus,Papelaria,Papel,Xerox 1921,Segunda Classe,2,23.976,3,0.2,7.4925,31.25
CA-2014-115259,2014-08-25,2014,8,Aug,Consumidor,Leste,Ohio,Columbus,Papelaria,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Segunda Classe,2,130.464,6,0.2,44.0316,33.75
CA-2015-110457,2015-03-02,2015,3,Mar,Consumidor,Oeste,Washington,Seattle,Móveis,Mesas,Hon Racetrack Conference Tables,Padrão,4,787.53,3,0.0,165.3813,21.0
US-2015-136476,2015-04-05,2015,4,Apr,Corporativo,Sul,Tennessee,Bristol,Papelaria,Fichários,GBC DocuBind 300 Electric Binding Machine,Padrão,5,157.794,1,0.7,-115.7156,-73.33
CA-2016-103730,2016-06-12,2016,6,Jun,Consumidor,Leste,Delaware,Wilmington,Móveis,Mobiliário,Artistic Insta-Plaque,Primeira Classe,3,47.04,3,0.0,18.3456,39.0
CA-2016-103730,2016-06-12,2016,6,Jun,Consumidor,Leste,Delaware,Wilmington,Papelaria,Fichários,DXL Angle-View Binders with Locking Rings by Samsill,Primeira Classe,3,30.84,4,0.0,13.878,45.0
CA-2016-103730,2016-06-12,2016,6,Jun,Consumidor,Leste,Delaware,Wilmington,Papelaria,Armazenamento,"Companion Letter/Legal File, Black",Primeira Classe,3,226.56,6,0.0,63.4368,28.0
CA-2016-103730,2016-06-12,2016,6,Jun,Consumidor,Leste,Delaware,Wilmington,Papelaria,Envelopes,Globe Weis Peel & Seel First Class Envelopes,Primeira Classe,3,115.02,9,0.0,51.759,45.0
CA-2016-103730,2016-06-12,2016,6,Jun,Consumidor,Leste,Delaware,Wilmington,Tecnologia,Telefones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Primeira Classe,3,68.04,7,0.0,19.7316,29.0
US-2014-152030,2014-12-26,2014,12,Dec,Home Office,Central,Texas,Houston,Móveis,Cadeiras,Global Deluxe High-Back Manager's Chair,Segunda Classe,2,600.558,3,0.3,-8.5794,-1.43
US-2014-134614,2014-09-20,2014,9,Sep,Consumidor,Central,Illinois,Bloomington,Móveis,Mesas,Bevis 44 x 96 Conference Tables,Padrão,5,617.7,6,0.5,-407.682,-66.0
US-2017-107272,2017-11-05,2017,11,Nov,Consumidor,Oeste,Arizona,Phoenix,Papelaria,Fichários,"Avery Durable Slant Ring Binders, No Labels",Padrão,7,2.388,2,0.7,-1.8308,-76.67
US-2017-107272,2017-11-05,2017,11,Nov,Consumidor,Oeste,Arizona,Phoenix,Papelaria,Armazenamento,"Trav-L-File Heavy-Duty Shuttle II, Black",Padrão,7,243.992,7,0.2,30.499,12.5
US-2016-125969,2016-11-06,2016,11,Nov,Home Office,Oeste,California,Los Angeles,Móveis,Cadeiras,"Global Task Chair, Black",Segunda Classe,4,81.424,2,0.2,-9.1602,-11.25
